epoch,learning_rate,da_miou,ll_acc,ll_iou
0,0.0005,0.7716,0.6344,0.1504
1,0.00049252,0.8240,0.6473,0.1765
2,0.00048508,0.8371,0.6599,0.1889
3,0.00047767,0.8269,0.6661,0.1929
4,0.0004703,0.8431,0.6746,0.1993
5,0.00046297,0.8305,0.6985,0.2005
6,0.00045568,0.8391,0.6928,0.2075
7,0.00044843,0.8545,0.6953,0.2066
8,0.00044122,0.8444,0.6840,0.2105
9,0.00043404,0.8242,0.6642,0.2028
10,0.00042691,0.8244,0.7103,0.2102
11,0.00041981,0.8591,0.6791,0.2115
12,0.00041276,0.8487,0.6783,0.2117
13,0.00040574,0.8554,0.6574,0.2049
14,0.00039877,0.8563,0.7102,0.2199
15,0.00039183,0.8629,0.6856,0.2153
16,0.00038494,0.8617,0.7028,0.2227
17,0.00037808,0.8597,0.6841,0.2139
18,0.00037127,0.8631,0.6839,0.2207
19,0.0003645,0.8625,0.6855,0.2207
20,0.00035777,0.8549,0.6933,0.2197
21,0.00035108,0.8631,0.6927,0.2241
22,0.00034444,0.8650,0.7196,0.2214
23,0.00033784,0.8628,0.6975,0.2217
24,0.00033128,0.8659,0.6842,0.2196
25,0.00032476,0.8623,0.6869,0.2216
26,0.00031829,0.8628,0.7113,0.2277
27,0.00031186,0.8640,0.6960,0.2208
28,0.00030547,0.8645,0.6916,0.2228
29,0.00029913,0.8665,0.7057,0.2258
30,0.00029283,0.8606,0.6893,0.2270
31,0.00028658,0.8663,0.6891,0.2255
32,0.00028037,0.8666,0.7104,0.2255
33,0.00027421,0.8603,0.6982,0.2249
34,0.00026809,0.8609,0.6808,0.2234
35,0.00026202,0.8675,0.6808,0.2230
36,0.000256,0.8652,0.6996,0.2263
37,0.00025002,0.8659,0.6861,0.2228
38,0.00024409,0.8674,0.6940,0.2262
39,0.00023821,0.8677,0.6871,0.2237
40,0.00023238,0.8662,0.7014,0.2306
41,0.00022659,0.8677,0.6944,0.2290
42,0.00022086,0.8595,0.6930,0.2282
43,0.00021517,0.8625,0.6853,0.2249
44,0.00020953,0.8637,0.6987,0.2322
45,0.00020395,0.8658,0.6989,0.2281
46,0.00019841,0.8662,0.6836,0.2281
47,0.00019292,0.8661,0.7075,0.2300
48,0.00018749,0.8695,0.7042,0.2340
49,0.00018211,0.8623,0.6895,0.2268
50,0.00017678,0.8700,0.7083,0.2335
51,0.0001715,0.8658,0.6926,0.2307
52,0.00016628,0.8667,0.6887,0.2284
53,0.00016111,0.8660,0.6935,0.2296
54,0.00015599,0.8695,0.7043,0.2313
55,0.00015093,0.8699,0.6997,0.2322
56,0.00014593,0.8679,0.7054,0.2292
57,0.00014098,0.8681,0.6920,0.2303
58,0.0001361,0.8709,0.6921,0.2315
59,0.00013126,0.8670,0.6961,0.2301
60,0.00012649,0.8699,0.6959,0.2316
61,0.00012178,0.8687,0.6896,0.2293
62,0.00011712,0.8637,0.6922,0.2292
63,0.00011253,0.8702,0.6997,0.2327
64,0.000108,0.8695,0.6860,0.2288
65,0.00010353,0.8687,0.6999,0.2332
66,9.913e-05,0.8674,0.6874,0.2297
67,9.479e-05,0.8677,0.6968,0.2325
68,9.051e-05,0.8713,0.7026,0.2357
69,8.63e-05,0.8676,0.7012,0.2328
70,8.216e-05,0.8707,0.6945,0.2319
71,7.808e-05,0.8697,0.6924,0.2317
72,7.408e-05,0.8689,0.6907,0.2287
73,7.015e-05,0.8696,0.6937,0.2316
74,6.629e-05,0.8702,0.6979,0.2317
75,6.25e-05,0.8717,0.6928,0.2324
76,5.879e-05,0.8706,0.6981,0.2332
77,5.515e-05,0.8698,0.6955,0.2299
78,5.159e-05,0.8719,0.6995,0.2341
79,4.812e-05,0.8703,0.6981,0.2328
80,4.472e-05,0.8715,0.7029,0.2340
81,4.141e-05,0.8692,0.6980,0.2320
82,3.818e-05,0.8706,0.6988,0.2331
83,3.505e-05,0.8685,0.6948,0.2319
84,3.2e-05,0.8710,0.6968,0.2324
85,2.905e-05,0.8700,0.7035,0.2333
86,2.619e-05,0.8715,0.7038,0.2330
87,2.344e-05,0.8697,0.6994,0.2334
88,2.078e-05,0.8703,0.6996,0.2331
89,1.824e-05,0.8696,0.6970,0.2325
90,1.581e-05,0.8708,0.6986,0.2328
91,1.35e-05,0.8702,0.7012,0.2341
92,1.131e-05,0.8704,0.6970,0.2326
93,9.26e-06,0.8703,0.6962,0.2325
94,7.35e-06,0.8705,0.6973,0.2335
95,5.59e-06,0.8705,0.6952,0.2319
96,4e-06,0.8711,0.6997,0.2339
97,2.6e-06,0.8705,0.6918,0.2320
98,1.41e-06,0.8708,0.7035,0.2341
99,5e-07,0.8711,0.6986,0.2329
