epoch,learning_rate,da_miou,ll_acc,ll_iou
0,0.0005,0.8014,0.6081,0.1406
1,0.00049252,0.8090,0.6715,0.1801
2,0.00048508,0.8038,0.7154,0.1828
3,0.00047767,0.8134,0.6110,0.1617
4,0.0004703,0.8047,0.6374,0.1830
5,0.00046297,0.8462,0.6803,0.2007
6,0.00045568,0.8305,0.6643,0.2033
7,0.00044843,0.8437,0.6689,0.2027
8,0.00044122,0.8075,0.6633,0.2056
9,0.00043404,0.8528,0.6796,0.2097
10,0.00042691,0.8207,0.6437,0.1938
11,0.00041981,0.8510,0.6691,0.2098
12,0.00041276,0.8513,0.7121,0.2190
13,0.00040574,0.8551,0.6923,0.2219
14,0.00039877,0.8365,0.6495,0.1989
15,0.00039183,0.8552,0.6849,0.2160
16,0.00038494,0.8592,0.7235,0.2245
17,0.00037808,0.8520,0.6890,0.2178
18,0.00037127,0.8611,0.7256,0.2232
19,0.0003645,0.8544,0.6830,0.2190
20,0.00035777,0.8591,0.6851,0.2243
21,0.00035108,0.8612,0.7054,0.2260
22,0.00034444,0.8617,0.6969,0.2238
23,0.00033784,0.8595,0.6813,0.2215
24,0.00033128,0.8612,0.6926,0.2257
25,0.00032476,0.8604,0.7078,0.2283
26,0.00031829,0.8609,0.6869,0.2190
27,0.00031186,0.8619,0.6910,0.2240
28,0.00030547,0.8647,0.7064,0.2329
29,0.00029913,0.8604,0.6931,0.2238
30,0.00029283,0.8609,0.6914,0.2248
31,0.00028658,0.8666,0.7128,0.2292
32,0.00028037,0.8658,0.6927,0.2296
33,0.00027421,0.8560,0.6911,0.2279
34,0.00026809,0.8662,0.7000,0.2335
35,0.00026202,0.8655,0.7205,0.2323
36,0.000256,0.8603,0.6912,0.2290
37,0.00025002,0.8674,0.6878,0.2257
38,0.00024409,0.8656,0.7011,0.2332
39,0.00023821,0.8634,0.7054,0.2323
40,0.00023238,0.8666,0.6924,0.2239
41,0.00022659,0.8660,0.6991,0.2297
42,0.00022086,0.8607,0.7043,0.2317
43,0.00021517,0.8597,0.6966,0.2278
44,0.00020953,0.8657,0.7080,0.2347
45,0.00020395,0.8663,0.6897,0.2289
46,0.00019841,0.8671,0.7009,0.2311
47,0.00019292,0.8684,0.7048,0.2330
48,0.00018749,0.8668,0.7004,0.2321
49,0.00018211,0.8677,0.6990,0.2317
50,0.00017678,0.8656,0.6837,0.2284
51,0.0001715,0.8633,0.6976,0.2334
52,0.00016628,0.8630,0.7071,0.2310
53,0.00016111,0.8614,0.6956,0.2300
54,0.00015599,0.8632,0.7023,0.2328
55,0.00015093,0.8559,0.6979,0.2332
56,0.00014593,0.8679,0.6992,0.2344
57,0.00014098,0.8698,0.7111,0.2378
58,0.0001361,0.8664,0.6926,0.2310
59,0.00013126,0.8683,0.7077,0.2358
60,0.00012649,0.8690,0.7121,0.2357
61,0.00012178,0.8678,0.6936,0.2316
62,0.00011712,0.8646,0.6997,0.2344
63,0.00011253,0.8683,0.6974,0.2342
64,0.000108,0.8682,0.7023,0.2345
65,0.00010353,0.8691,0.7064,0.2373
66,9.913e-05,0.8664,0.7004,0.2352
67,9.479e-05,0.8696,0.7061,0.2367
68,9.051e-05,0.8693,0.6958,0.2338
69,8.63e-05,0.8675,0.6972,0.2321
70,8.216e-05,0.8698,0.7022,0.2370
71,7.808e-05,0.8688,0.7056,0.2358
72,7.408e-05,0.8691,0.7117,0.2386
73,7.015e-05,0.8700,0.7070,0.2377
74,6.629e-05,0.8695,0.7042,0.2353
75,6.25e-05,0.8691,0.7021,0.2364
76,5.879e-05,0.8689,0.6997,0.2350
77,5.515e-05,0.8686,0.7034,0.2356
78,5.159e-05,0.8696,0.7026,0.2370
79,4.812e-05,0.8697,0.6990,0.2351
80,4.472e-05,0.8700,0.7022,0.2359
81,4.141e-05,0.8702,0.7004,0.2358
82,3.818e-05,0.8693,0.6999,0.2368
83,3.505e-05,0.8699,0.7078,0.2375
84,3.2e-05,0.8701,0.6974,0.2349
85,2.905e-05,0.8687,0.7033,0.2375
86,2.619e-05,0.8703,0.7059,0.2376
87,2.344e-05,0.8697,0.7129,0.2390
88,2.078e-05,0.8676,0.7017,0.2353
89,1.824e-05,0.8702,0.7090,0.2384
90,1.581e-05,0.8704,0.7064,0.2376
91,1.35e-05,0.8705,0.7062,0.2373
92,1.131e-05,0.8699,0.7069,0.2374
93,9.26e-06,0.8700,0.7006,0.2362
94,7.35e-06,0.8696,0.7023,0.2366
95,5.59e-06,0.8700,0.7024,0.2372
96,4e-06,0.8702,0.7023,0.2368
97,2.6e-06,0.8690,0.7055,0.2377
98,1.41e-06,0.8703,0.7062,0.2375
99,5e-07,0.8703,0.7042,0.2376
