epoch,learning_rate,da_miou,ll_acc,ll_iou
0,0.0005,0.8009,0.6484,0.1582
1,0.00049252,0.8178,0.6636,0.1738
2,0.00048508,0.8321,0.6621,0.1849
3,0.00047767,0.8302,0.6602,0.1848
4,0.0004703,0.8252,0.6555,0.1873
5,0.00046297,0.8462,0.6828,0.1998
6,0.00045568,0.8413,0.6808,0.2022
7,0.00044843,0.8471,0.6710,0.1999
8,0.00044122,0.8439,0.6651,0.2002
9,0.00043404,0.8510,0.6781,0.2065
10,0.00042691,0.8441,0.6681,0.2038
11,0.00041981,0.8434,0.6800,0.2121
12,0.00041276,0.8557,0.6840,0.2099
13,0.00040574,0.8548,0.6813,0.2094
14,0.00039877,0.8542,0.6806,0.2143
15,0.00039183,0.8547,0.6747,0.2120
16,0.00038494,0.8550,0.6808,0.2149
17,0.00037808,0.8527,0.6944,0.2180
18,0.00037127,0.8538,0.6907,0.2174
19,0.0003645,0.8576,0.6890,0.2197
20,0.00035777,0.8542,0.6949,0.2182
21,0.00035108,0.8603,0.6905,0.2173
22,0.00034444,0.8553,0.6901,0.2198
23,0.00033784,0.8619,0.7030,0.2240
24,0.00033128,0.8606,0.6904,0.2185
25,0.00032476,0.8584,0.6874,0.2148
26,0.00031829,0.8610,0.6962,0.2219
27,0.00031186,0.8593,0.6856,0.2182
28,0.00030547,0.8623,0.7058,0.2246
29,0.00029913,0.8603,0.6895,0.2223
30,0.00029283,0.8598,0.6839,0.2202
31,0.00028658,0.8591,0.6908,0.2232
32,0.00028037,0.8650,0.7038,0.2263
33,0.00027421,0.8630,0.6766,0.2185
34,0.00026809,0.8531,0.6802,0.2187
35,0.00026202,0.8629,0.6832,0.2219
36,0.000256,0.8616,0.6883,0.2219
37,0.00025002,0.8630,0.6919,0.2213
38,0.00024409,0.8632,0.6883,0.2254
39,0.00023821,0.8646,0.7007,0.2274
40,0.00023238,0.8648,0.6904,0.2257
41,0.00022659,0.8639,0.6889,0.2252
42,0.00022086,0.8644,0.6930,0.2268
43,0.00021517,0.8636,0.6924,0.2246
44,0.00020953,0.8612,0.6979,0.2251
45,0.00020395,0.8655,0.7026,0.2290
46,0.00019841,0.8582,0.6844,0.2237
47,0.00019292,0.8604,0.6840,0.2239
48,0.00018749,0.8649,0.6887,0.2240
49,0.00018211,0.8654,0.7023,0.2307
50,0.00017678,0.8616,0.6926,0.2253
51,0.0001715,0.8668,0.6975,0.2282
52,0.00016628,0.8651,0.6979,0.2281
53,0.00016111,0.8658,0.6875,0.2260
54,0.00015599,0.8663,0.6984,0.2255
55,0.00015093,0.8636,0.6927,0.2285
56,0.00014593,0.8642,0.6907,0.2268
57,0.00014098,0.8659,0.6974,0.2252
58,0.0001361,0.8650,0.7025,0.2298
59,0.00013126,0.8658,0.6886,0.2275
60,0.00012649,0.8659,0.7008,0.2299
61,0.00012178,0.8679,0.7069,0.2316
62,0.00011712,0.8668,0.6933,0.2285
63,0.00011253,0.8677,0.6920,0.2269
64,0.000108,0.8662,0.7023,0.2302
65,0.00010353,0.8681,0.6998,0.2297
66,9.913e-05,0.8685,0.6982,0.2290
67,9.479e-05,0.8674,0.6966,0.2313
68,9.051e-05,0.8673,0.6965,0.2299
69,8.63e-05,0.8649,0.6927,0.2306
70,8.216e-05,0.8692,0.6969,0.2306
71,7.808e-05,0.8667,0.7014,0.2310
72,7.408e-05,0.8668,0.6939,0.2304
73,7.015e-05,0.8679,0.7015,0.2307
74,6.629e-05,0.8676,0.6948,0.2291
75,6.25e-05,0.8651,0.6872,0.2270
76,5.879e-05,0.8690,0.7007,0.2319
77,5.515e-05,0.8668,0.6990,0.2305
78,5.159e-05,0.8697,0.7014,0.2322
79,4.812e-05,0.8674,0.6939,0.2306
80,4.472e-05,0.8689,0.7044,0.2321
81,4.141e-05,0.8691,0.6972,0.2301
82,3.818e-05,0.8675,0.6958,0.2313
83,3.505e-05,0.8692,0.6985,0.2306
84,3.2e-05,0.8698,0.6977,0.2323
85,2.905e-05,0.8693,0.6943,0.2310
86,2.619e-05,0.8666,0.6959,0.2315
87,2.344e-05,0.8686,0.6922,0.2302
88,2.078e-05,0.8685,0.6991,0.2312
89,1.824e-05,0.8685,0.6989,0.2325
90,1.581e-05,0.8683,0.6996,0.2317
91,1.35e-05,0.8686,0.6967,0.2314
92,1.131e-05,0.8688,0.6992,0.2319
93,9.26e-06,0.8686,0.6967,0.2313
94,7.35e-06,0.8682,0.6962,0.2310
95,5.59e-06,0.8682,0.6960,0.2308
96,4e-06,0.8681,0.6978,0.2321
97,2.6e-06,0.8690,0.7002,0.2319
98,1.41e-06,0.8677,0.6939,0.2304
99,5e-07,0.8687,0.6974,0.2310
