epoch,learning_rate,da_miou,ll_acc,ll_iou
0,0.0005,0.7938,0.6262,0.1465
1,0.00049252,0.8139,0.6509,0.1704
2,0.00048508,0.8188,0.6454,0.1748
3,0.00047767,0.8319,0.6579,0.1831
4,0.0004703,0.8242,0.6821,0.1925
5,0.00046297,0.8315,0.6645,0.1912
6,0.00045568,0.8402,0.6556,0.1938
7,0.00044843,0.8366,0.6785,0.2007
8,0.00044122,0.8384,0.6888,0.2007
9,0.00043404,0.8458,0.7177,0.2026
10,0.00042691,0.8485,0.6656,0.1989
11,0.00041981,0.8489,0.6782,0.2078
12,0.00041276,0.8442,0.6982,0.2095
13,0.00040574,0.8476,0.6914,0.2067
14,0.00039877,0.8528,0.7149,0.2107
15,0.00039183,0.8467,0.6968,0.2082
16,0.00038494,0.8539,0.6777,0.2088
17,0.00037808,0.8566,0.6734,0.2106
18,0.00037127,0.8559,0.6912,0.2133
19,0.0003645,0.8537,0.6892,0.2149
20,0.00035777,0.8556,0.6909,0.2143
21,0.00035108,0.8589,0.6840,0.2153
22,0.00034444,0.8607,0.6792,0.2130
23,0.00033784,0.8594,0.6933,0.2181
24,0.00033128,0.8539,0.6946,0.2188
25,0.00032476,0.8593,0.6823,0.2163
26,0.00031829,0.8535,0.7019,0.2168
27,0.00031186,0.8601,0.6900,0.2163
28,0.00030547,0.8619,0.6897,0.2188
29,0.00029913,0.8596,0.6753,0.2132
30,0.00029283,0.8602,0.6839,0.2179
31,0.00028658,0.8604,0.7051,0.2192
32,0.00028037,0.8630,0.6859,0.2172
33,0.00027421,0.8549,0.6747,0.2149
34,0.00026809,0.8603,0.6846,0.2179
35,0.00026202,0.8627,0.7042,0.2217
36,0.000256,0.8626,0.6804,0.2162
37,0.00025002,0.8618,0.6844,0.2166
38,0.00024409,0.8631,0.6893,0.2189
39,0.00023821,0.8587,0.6899,0.2206
40,0.00023238,0.8619,0.6959,0.2213
41,0.00022659,0.8590,0.6911,0.2219
42,0.00022086,0.8558,0.6985,0.2238
43,0.00021517,0.8527,0.6698,0.2127
44,0.00020953,0.8608,0.6757,0.2156
45,0.00020395,0.8645,0.6999,0.2243
46,0.00019841,0.8636,0.6948,0.2218
47,0.00019292,0.8637,0.6958,0.2223
48,0.00018749,0.8637,0.6861,0.2206
49,0.00018211,0.8633,0.6951,0.2221
50,0.00017678,0.8642,0.6924,0.2226
51,0.0001715,0.8634,0.7015,0.2237
52,0.00016628,0.8634,0.6855,0.2189
53,0.00016111,0.8660,0.6962,0.2238
54,0.00015599,0.8595,0.6987,0.2225
55,0.00015093,0.8658,0.7020,0.2240
56,0.00014593,0.8624,0.6888,0.2234
57,0.00014098,0.8650,0.7078,0.2232
58,0.0001361,0.8642,0.6945,0.2232
59,0.00013126,0.8649,0.6853,0.2229
60,0.00012649,0.8653,0.6971,0.2248
61,0.00012178,0.8640,0.6884,0.2237
62,0.00011712,0.8670,0.6923,0.2235
63,0.00011253,0.8624,0.6903,0.2247
64,0.000108,0.8646,0.6947,0.2252
65,0.00010353,0.8651,0.6927,0.2229
66,9.913e-05,0.8654,0.6940,0.2251
67,9.479e-05,0.8640,0.6877,0.2233
68,9.051e-05,0.8671,0.6944,0.2248
69,8.63e-05,0.8651,0.6974,0.2272
70,8.216e-05,0.8671,0.6908,0.2247
71,7.808e-05,0.8675,0.6941,0.2236
72,7.408e-05,0.8646,0.6966,0.2244
73,7.015e-05,0.8652,0.6927,0.2247
74,6.629e-05,0.8674,0.6941,0.2246
75,6.25e-05,0.8669,0.6983,0.2263
76,5.879e-05,0.8645,0.6944,0.2254
77,5.515e-05,0.8679,0.7011,0.2272
78,5.159e-05,0.8659,0.6885,0.2246
79,4.812e-05,0.8684,0.6991,0.2268
80,4.472e-05,0.8655,0.6882,0.2237
81,4.141e-05,0.8680,0.6982,0.2265
82,3.818e-05,0.8660,0.6974,0.2270
83,3.505e-05,0.8662,0.6971,0.2273
84,3.2e-05,0.8662,0.6939,0.2256
85,2.905e-05,0.8648,0.7007,0.2272
86,2.619e-05,0.8658,0.6970,0.2263
87,2.344e-05,0.8654,0.6897,0.2244
88,2.078e-05,0.8676,0.6951,0.2253
89,1.824e-05,0.8675,0.6941,0.2253
90,1.581e-05,0.8680,0.6937,0.2257
91,1.35e-05,0.8657,0.6937,0.2259
92,1.131e-05,0.8643,0.6915,0.2253
93,9.26e-06,0.8676,0.6941,0.2263
94,7.35e-06,0.8662,0.6956,0.2267
95,5.59e-06,0.8666,0.6919,0.2259
96,4e-06,0.8667,0.6928,0.2255
97,2.6e-06,0.8669,0.6967,0.2268
98,1.41e-06,0.8666,0.6999,0.2278
99,5e-07,0.8669,0.6958,0.2265
