epoch,learning_rate,da_miou,ll_acc,ll_iou
0,0.0005,0.8792,0.7283,0.2433
1,0.00049252,0.8895,0.7326,0.2633
2,0.00048508,0.8981,0.7521,0.2697
3,0.00047767,0.9004,0.7545,0.2940
4,0.0004703,0.9066,0.7628,0.2927
5,0.00046297,0.9067,0.7550,0.2959
6,0.00045568,0.9094,0.7667,0.3040
7,0.00044843,0.9121,0.7823,0.3013
8,0.00044122,0.9132,0.7806,0.3045
9,0.00043404,0.9115,0.7837,0.3090
10,0.00042691,0.9155,0.7814,0.3134
11,0.00041981,0.9141,0.7721,0.3190
12,0.00041276,0.9150,0.7933,0.3156
13,0.00040574,0.9114,0.7820,0.3115
14,0.00039877,0.9178,0.7799,0.3109
15,0.00039183,0.9167,0.7839,0.3168
16,0.00038494,0.9176,0.7844,0.3175
17,0.00037808,0.9197,0.7890,0.3169
18,0.00037127,0.9202,0.7871,0.3189
19,0.0003645,0.9188,0.7845,0.3264
20,0.00035777,0.9187,0.7943,0.3240
21,0.00035108,0.9215,0.7897,0.3179
22,0.00034444,0.9193,0.7980,0.3285
23,0.00033784,0.9213,0.7999,0.3222
24,0.00033128,0.9213,0.7885,0.3243
25,0.00032476,0.9190,0.7974,0.3209
26,0.00031829,0.9202,0.8009,0.3296
27,0.00031186,0.9228,0.8029,0.3261
28,0.00030547,0.9222,0.7985,0.3280
29,0.00029913,0.9231,0.8081,0.3312
30,0.00029283,0.9237,0.7994,0.3263
31,0.00028658,0.9221,0.8013,0.3292
32,0.00028037,0.9244,0.8053,0.3339
33,0.00027421,0.9243,0.7981,0.3302
34,0.00026809,0.9203,0.8089,0.3279
35,0.00026202,0.9215,0.8007,0.3304
36,0.000256,0.9243,0.7954,0.3294
37,0.00025002,0.9235,0.8072,0.3303
38,0.00024409,0.9245,0.8004,0.3348
39,0.00023821,0.9233,0.8026,0.3306
40,0.00023238,0.9241,0.8041,0.3379
41,0.00022659,0.9239,0.8022,0.3320
42,0.00022086,0.9253,0.8003,0.3328
43,0.00021517,0.9259,0.8007,0.3300
44,0.00020953,0.9246,0.8014,0.3367
45,0.00020395,0.9246,0.7978,0.3307
46,0.00019841,0.9236,0.8047,0.3346
47,0.00019292,0.9259,0.8100,0.3312
48,0.00018749,0.9262,0.8071,0.3357
49,0.00018211,0.9251,0.8084,0.3375
50,0.00017678,0.9267,0.8071,0.3360
51,0.0001715,0.9264,0.7987,0.3335
52,0.00016628,0.9258,0.8055,0.3337
53,0.00016111,0.9251,0.8099,0.3403
54,0.00015599,0.9250,0.8066,0.3344
55,0.00015093,0.9256,0.8114,0.3338
56,0.00014593,0.9263,0.8066,0.3347
57,0.00014098,0.9255,0.8094,0.3359
58,0.0001361,0.9246,0.8063,0.3327
59,0.00013126,0.9263,0.8099,0.3362
60,0.00012649,0.9253,0.8091,0.3353
61,0.00012178,0.9263,0.8138,0.3370
62,0.00011712,0.9271,0.8106,0.3359
63,0.00011253,0.9269,0.8104,0.3361
64,0.000108,0.9267,0.8074,0.3370
65,0.00010353,0.9265,0.8087,0.3376
66,9.913e-05,0.9267,0.8128,0.3387
67,9.479e-05,0.9262,0.8137,0.3380
68,9.051e-05,0.9267,0.8092,0.3376
69,8.63e-05,0.9260,0.8066,0.3362
70,8.216e-05,0.9270,0.8065,0.3370
71,7.808e-05,0.9272,0.8096,0.3380
72,7.408e-05,0.9263,0.8144,0.3385
73,7.015e-05,0.9263,0.8072,0.3393
74,6.629e-05,0.9257,0.8092,0.3385
75,6.25e-05,0.9265,0.8122,0.3383
76,5.879e-05,0.9263,0.8105,0.3373
77,5.515e-05,0.9278,0.8096,0.3383
78,5.159e-05,0.9273,0.8092,0.3384
79,4.812e-05,0.9271,0.8107,0.3384
80,4.472e-05,0.9273,0.8070,0.3396
81,4.141e-05,0.9275,0.8088,0.3391
82,3.818e-05,0.9274,0.8129,0.3398
83,3.505e-05,0.9274,0.8155,0.3392
84,3.2e-05,0.9272,0.8162,0.3398
85,2.905e-05,0.9263,0.8141,0.3388
86,2.619e-05,0.9271,0.8151,0.3403
87,2.344e-05,0.9274,0.8147,0.3386
88,2.078e-05,0.9277,0.8107,0.3396
89,1.824e-05,0.9273,0.8099,0.3389
90,1.581e-05,0.9276,0.8124,0.3391
91,1.35e-05,0.9278,0.8132,0.3390
92,1.131e-05,0.9273,0.8118,0.3415
93,9.26e-06,0.9276,0.8105,0.3406
94,7.35e-06,0.9274,0.8112,0.3399
95,5.59e-06,0.9275,0.8108,0.3400
96,4e-06,0.9277,0.8117,0.3397
97,2.6e-06,0.9276,0.8116,0.3392
98,1.41e-06,0.9278,0.8113,0.3389
99,5e-07,0.9276,0.8110,0.3388
