epoch,learning_rate,da_miou,ll_acc,ll_iou
0,0.0005,0.8374,0.6847,0.1907
1,0.00049252,0.8488,0.6742,0.2042
2,0.00048508,0.8513,0.7096,0.2183
3,0.00047767,0.8681,0.6724,0.2261
4,0.0004703,0.8714,0.7256,0.2336
5,0.00046297,0.8710,0.6943,0.2354
6,0.00045568,0.8756,0.7204,0.2418
7,0.00044843,0.8751,0.7052,0.2396
8,0.00044122,0.8792,0.6940,0.2401
9,0.00043404,0.8832,0.7249,0.2491
10,0.00042691,0.8807,0.7155,0.2463
11,0.00041981,0.8704,0.7238,0.2503
12,0.00041276,0.8776,0.7171,0.2511
13,0.00040574,0.8821,0.7200,0.2488
14,0.00039877,0.8857,0.7448,0.2523
15,0.00039183,0.8875,0.7302,0.2551
16,0.00038494,0.8794,0.7457,0.2568
17,0.00037808,0.8808,0.7162,0.2523
18,0.00037127,0.8784,0.7253,0.2656
19,0.0003645,0.8866,0.7280,0.2599
20,0.00035777,0.8867,0.7484,0.2581
21,0.00035108,0.8904,0.7337,0.2552
22,0.00034444,0.8876,0.6979,0.2536
23,0.00033784,0.8830,0.7450,0.2630
24,0.00033128,0.8846,0.7465,0.2697
25,0.00032476,0.8732,0.7195,0.2636
26,0.00031829,0.8893,0.7401,0.2617
27,0.00031186,0.8914,0.7582,0.2619
28,0.00030547,0.8922,0.7402,0.2600
29,0.00029913,0.8915,0.7426,0.2669
30,0.00029283,0.8820,0.7370,0.2650
31,0.00028658,0.8922,0.7485,0.2710
32,0.00028037,0.8911,0.7451,0.2706
33,0.00027421,0.8883,0.7314,0.2691
34,0.00026809,0.8886,0.7235,0.2620
35,0.00026202,0.8906,0.7392,0.2716
36,0.000256,0.8883,0.7373,0.2710
37,0.00025002,0.8903,0.7165,0.2642
38,0.00024409,0.8881,0.7763,0.2597
39,0.00023821,0.8929,0.7189,0.2696
40,0.00023238,0.8912,0.7586,0.2634
41,0.00022659,0.8810,0.7263,0.2627
42,0.00022086,0.8895,0.7643,0.2694
43,0.00021517,0.8902,0.7351,0.2712
44,0.00020953,0.8923,0.7440,0.2706
45,0.00020395,0.8944,0.7365,0.2729
46,0.00019841,0.8934,0.7501,0.2750
47,0.00019292,0.8952,0.7406,0.2732
48,0.00018749,0.8943,0.7520,0.2813
49,0.00018211,0.8962,0.7473,0.2780
50,0.00017678,0.8940,0.7415,0.2721
51,0.0001715,0.8962,0.7671,0.2780
52,0.00016628,0.8934,0.7488,0.2786
53,0.00016111,0.8965,0.7574,0.2731
54,0.00015599,0.8918,0.7456,0.2760
55,0.00015093,0.8917,0.7541,0.2786
56,0.00014593,0.8955,0.7323,0.2761
57,0.00014098,0.8923,0.7374,0.2689
58,0.0001361,0.8952,0.7248,0.2680
59,0.00013126,0.8964,0.7332,0.2761
60,0.00012649,0.8961,0.7377,0.2794
61,0.00012178,0.8972,0.7368,0.2783
62,0.00011712,0.8979,0.7465,0.2736
63,0.00011253,0.8971,0.7490,0.2777
64,0.000108,0.8979,0.7438,0.2790
65,0.00010353,0.8976,0.7395,0.2793
66,9.913e-05,0.8974,0.7524,0.2788
67,9.479e-05,0.8951,0.7486,0.2774
68,9.051e-05,0.8969,0.7373,0.2778
69,8.63e-05,0.8969,0.7417,0.2796
70,8.216e-05,0.8943,0.7415,0.2821
71,7.808e-05,0.8971,0.7402,0.2768
72,7.408e-05,0.8982,0.7471,0.2783
73,7.015e-05,0.8981,0.7437,0.2784
74,6.629e-05,0.8980,0.7391,0.2803
75,6.25e-05,0.8988,0.7479,0.2806
76,5.879e-05,0.8958,0.7420,0.2783
77,5.515e-05,0.8951,0.7390,0.2802
78,5.159e-05,0.8970,0.7424,0.2770
79,4.812e-05,0.8974,0.7453,0.2807
80,4.472e-05,0.8968,0.7470,0.2798
81,4.141e-05,0.8981,0.7451,0.2801
82,3.818e-05,0.8984,0.7518,0.2816
83,3.505e-05,0.8991,0.7457,0.2826
84,3.2e-05,0.8969,0.7478,0.2797
85,2.905e-05,0.8972,0.7388,0.2781
86,2.619e-05,0.8977,0.7514,0.2810
87,2.344e-05,0.8992,0.7445,0.2792
88,2.078e-05,0.8978,0.7430,0.2786
89,1.824e-05,0.8987,0.7445,0.2793
90,1.581e-05,0.8987,0.7450,0.2809
91,1.35e-05,0.8975,0.7486,0.2806
92,1.131e-05,0.8979,0.7485,0.2811
93,9.26e-06,0.8991,0.7488,0.2814
94,7.35e-06,0.8987,0.7479,0.2807
95,5.59e-06,0.8990,0.7440,0.2815
96,4e-06,0.8992,0.7442,0.2806
97,2.6e-06,0.8981,0.7483,0.2815
98,1.41e-06,0.8978,0.7448,0.2803
99,5e-07,0.8987,0.7456,0.2810
