epoch,learning_rate,da_miou,ll_acc,ll_iou
0,0.0005,0.8737,0.7030,0.2369
1,0.00049252,0.8882,0.7356,0.2660
2,0.00048508,0.9006,0.7532,0.2805
3,0.00047767,0.9021,0.7563,0.2893
4,0.0004703,0.9056,0.7516,0.2954
5,0.00046297,0.9074,0.7655,0.3015
6,0.00045568,0.9083,0.7743,0.3059
7,0.00044843,0.9097,0.7728,0.3036
8,0.00044122,0.9132,0.7803,0.3083
9,0.00043404,0.9177,0.7878,0.3211
10,0.00042691,0.9162,0.7945,0.3177
11,0.00041981,0.9187,0.7946,0.3107
12,0.00041276,0.9189,0.7986,0.3148
13,0.00040574,0.9201,0.7864,0.3222
14,0.00039877,0.9176,0.7877,0.3175
15,0.00039183,0.9189,0.7876,0.3236
16,0.00038494,0.9201,0.7953,0.3219
17,0.00037808,0.9211,0.7929,0.3226
18,0.00037127,0.9196,0.8047,0.3243
19,0.0003645,0.9194,0.8004,0.3236
20,0.00035777,0.9223,0.8026,0.3251
21,0.00035108,0.9220,0.7942,0.3232
22,0.00034444,0.9242,0.7979,0.3263
23,0.00033784,0.9238,0.7944,0.3296
24,0.00033128,0.9248,0.7991,0.3293
25,0.00032476,0.9252,0.8126,0.3270
26,0.00031829,0.9236,0.8067,0.3306
27,0.00031186,0.9196,0.7999,0.3302
28,0.00030547,0.9244,0.8003,0.3268
29,0.00029913,0.9203,0.7997,0.3310
30,0.00029283,0.9254,0.8055,0.3333
31,0.00028658,0.9259,0.8007,0.3323
32,0.00028037,0.9232,0.8024,0.3337
33,0.00027421,0.9255,0.7932,0.3277
34,0.00026809,0.9255,0.8064,0.3322
35,0.00026202,0.9232,0.8148,0.3358
36,0.000256,0.9221,0.8058,0.3330
37,0.00025002,0.9257,0.8083,0.3374
38,0.00024409,0.9250,0.8137,0.3391
39,0.00023821,0.9244,0.8095,0.3349
40,0.00023238,0.9256,0.8076,0.3347
41,0.00022659,0.9249,0.8116,0.3373
42,0.00022086,0.9266,0.8100,0.3329
43,0.00021517,0.9262,0.8171,0.3357
44,0.00020953,0.9249,0.8062,0.3359
45,0.00020395,0.9272,0.8089,0.3345
46,0.00019841,0.9268,0.8123,0.3391
47,0.00019292,0.9267,0.7977,0.3340
48,0.00018749,0.9260,0.8164,0.3369
49,0.00018211,0.9266,0.8103,0.3388
50,0.00017678,0.9281,0.8180,0.3406
51,0.0001715,0.9273,0.8115,0.3384
52,0.00016628,0.9261,0.8059,0.3377
53,0.00016111,0.9275,0.8163,0.3430
54,0.00015599,0.9269,0.8025,0.3341
55,0.00015093,0.9275,0.8090,0.3390
56,0.00014593,0.9271,0.8143,0.3400
57,0.00014098,0.9268,0.8139,0.3424
58,0.0001361,0.9272,0.8149,0.3401
59,0.00013126,0.9275,0.8155,0.3416
60,0.00012649,0.9274,0.8155,0.3388
61,0.00012178,0.9269,0.8088,0.3404
62,0.00011712,0.9271,0.8153,0.3376
63,0.00011253,0.9278,0.8122,0.3387
64,0.000108,0.9278,0.8113,0.3426
65,0.00010353,0.9282,0.8172,0.3395
66,9.913e-05,0.9284,0.8137,0.3398
67,9.479e-05,0.9272,0.8079,0.3406
68,9.051e-05,0.9276,0.8244,0.3412
69,8.63e-05,0.9280,0.8110,0.3429
70,8.216e-05,0.9268,0.8188,0.3406
71,7.808e-05,0.9271,0.8138,0.3414
72,7.408e-05,0.9279,0.8126,0.3412
73,7.015e-05,0.9282,0.8178,0.3427
74,6.629e-05,0.9270,0.8155,0.3423
75,6.25e-05,0.9280,0.8136,0.3426
76,5.879e-05,0.9279,0.8196,0.3433
77,5.515e-05,0.9285,0.8166,0.3439
78,5.159e-05,0.9281,0.8177,0.3428
79,4.812e-05,0.9280,0.8151,0.3418
80,4.472e-05,0.9283,0.8112,0.3432
81,4.141e-05,0.9276,0.8146,0.3429
82,3.818e-05,0.9282,0.8159,0.3430
83,3.505e-05,0.9278,0.8153,0.3430
84,3.2e-05,0.9286,0.8197,0.3414
85,2.905e-05,0.9287,0.8180,0.3415
86,2.619e-05,0.9285,0.8132,0.3425
87,2.344e-05,0.9283,0.8183,0.3417
88,2.078e-05,0.9282,0.8142,0.3426
89,1.824e-05,0.9283,0.8178,0.3427
90,1.581e-05,0.9284,0.8173,0.3420
91,1.35e-05,0.9284,0.8175,0.3427
92,1.131e-05,0.9289,0.8164,0.3422
93,9.26e-06,0.9284,0.8190,0.3425
94,7.35e-06,0.9282,0.8163,0.3412
95,5.59e-06,0.9284,0.8184,0.3422
96,4e-06,0.9285,0.8190,0.3428
97,2.6e-06,0.9283,0.8161,0.3432
98,1.41e-06,0.9283,0.8186,0.3424
99,5e-07,0.9283,0.8181,0.3433
