epoch,learning_rate,da_miou,ll_acc,ll_iou
0,0.0005,0.8197,0.6649,0.1673
1,0.00049252,0.8230,0.6718,0.1864
2,0.00048508,0.8427,0.6813,0.1990
3,0.00047767,0.8278,0.6548,0.1914
4,0.0004703,0.8528,0.6857,0.2087
5,0.00046297,0.8564,0.6907,0.2143
6,0.00045568,0.8606,0.6718,0.2102
7,0.00044843,0.8635,0.6997,0.2182
8,0.00044122,0.8632,0.6858,0.2186
9,0.00043404,0.8563,0.7073,0.2136
10,0.00042691,0.8631,0.6775,0.2158
11,0.00041981,0.8583,0.6730,0.2163
12,0.00041276,0.8648,0.6814,0.2204
13,0.00040574,0.8639,0.6886,0.2242
14,0.00039877,0.8631,0.7014,0.2233
15,0.00039183,0.8667,0.6934,0.2270
16,0.00038494,0.8587,0.6923,0.2237
17,0.00037808,0.8607,0.6954,0.2294
18,0.00037127,0.8684,0.7009,0.2292
19,0.0003645,0.8672,0.7041,0.2320
20,0.00035777,0.8708,0.7167,0.2347
21,0.00035108,0.8668,0.6932,0.2315
22,0.00034444,0.8714,0.7091,0.2340
23,0.00033784,0.8714,0.7148,0.2359
24,0.00033128,0.8668,0.7228,0.2322
25,0.00032476,0.8441,0.6699,0.2218
26,0.00031829,0.8727,0.6998,0.2317
27,0.00031186,0.8686,0.7024,0.2345
28,0.00030547,0.8728,0.7115,0.2377
29,0.00029913,0.8749,0.7065,0.2407
30,0.00029283,0.8734,0.7021,0.2392
31,0.00028658,0.8753,0.7125,0.2398
32,0.00028037,0.8735,0.7135,0.2396
33,0.00027421,0.8740,0.7129,0.2368
34,0.00026809,0.8747,0.7078,0.2389
35,0.00026202,0.8693,0.7014,0.2370
36,0.000256,0.8759,0.7169,0.2421
37,0.00025002,0.8682,0.7252,0.2410
38,0.00024409,0.8717,0.7021,0.2371
39,0.00023821,0.8765,0.7206,0.2432
40,0.00023238,0.8752,0.7097,0.2425
41,0.00022659,0.8759,0.6961,0.2382
42,0.00022086,0.8772,0.7162,0.2441
43,0.00021517,0.8744,0.7010,0.2415
44,0.00020953,0.8758,0.7116,0.2448
45,0.00020395,0.8776,0.7178,0.2446
46,0.00019841,0.8780,0.7074,0.2428
47,0.00019292,0.8773,0.7106,0.2428
48,0.00018749,0.8741,0.7068,0.2387
49,0.00018211,0.8761,0.7109,0.2448
50,0.00017678,0.8769,0.7004,0.2416
51,0.0001715,0.8775,0.7128,0.2451
52,0.00016628,0.8754,0.7097,0.2447
53,0.00016111,0.8774,0.7094,0.2449
54,0.00015599,0.8769,0.7118,0.2445
55,0.00015093,0.8758,0.7061,0.2435
56,0.00014593,0.8778,0.7043,0.2432
57,0.00014098,0.8792,0.7116,0.2467
58,0.0001361,0.8781,0.7143,0.2490
59,0.00013126,0.8763,0.7167,0.2466
60,0.00012649,0.8794,0.7176,0.2452
61,0.00012178,0.8778,0.7081,0.2439
62,0.00011712,0.8775,0.7161,0.2460
63,0.00011253,0.8777,0.7035,0.2444
64,0.000108,0.8778,0.7080,0.2450
65,0.00010353,0.8766,0.7166,0.2442
66,9.913e-05,0.8777,0.7122,0.2470
67,9.479e-05,0.8777,0.7119,0.2474
68,9.051e-05,0.8788,0.7113,0.2464
69,8.63e-05,0.8763,0.7080,0.2446
70,8.216e-05,0.8767,0.7061,0.2452
71,7.808e-05,0.8769,0.7084,0.2470
72,7.408e-05,0.8767,0.7070,0.2445
73,7.015e-05,0.8770,0.7152,0.2474
74,6.629e-05,0.8782,0.7103,0.2470
75,6.25e-05,0.8795,0.7163,0.2484
76,5.879e-05,0.8790,0.7078,0.2456
77,5.515e-05,0.8792,0.7144,0.2461
78,5.159e-05,0.8773,0.7096,0.2464
79,4.812e-05,0.8787,0.7073,0.2472
80,4.472e-05,0.8783,0.7078,0.2475
81,4.141e-05,0.8773,0.7122,0.2481
82,3.818e-05,0.8780,0.7185,0.2478
83,3.505e-05,0.8782,0.7052,0.2465
84,3.2e-05,0.8793,0.7060,0.2478
85,2.905e-05,0.8782,0.7104,0.2464
86,2.619e-05,0.8781,0.7142,0.2471
87,2.344e-05,0.8791,0.7079,0.2474
88,2.078e-05,0.8790,0.7100,0.2476
89,1.824e-05,0.8795,0.7090,0.2475
90,1.581e-05,0.8784,0.7127,0.2484
91,1.35e-05,0.8793,0.7107,0.2479
92,1.131e-05,0.8787,0.7132,0.2486
93,9.26e-06,0.8786,0.7095,0.2467
94,7.35e-06,0.8779,0.7118,0.2480
95,5.59e-06,0.8793,0.7146,0.2489
96,4e-06,0.8786,0.7123,0.2485
97,2.6e-06,0.8798,0.7099,0.2469
98,1.41e-06,0.8789,0.7150,0.2485
99,5e-07,0.8791,0.7114,0.2476
