epoch,learning_rate,da_miou,ll_acc,ll_iou
0,0.0005,0.8724,0.7219,0.2306
1,0.00049252,0.8889,0.7345,0.2621
2,0.00048508,0.8945,0.7521,0.2768
3,0.00047767,0.9008,0.7596,0.2789
4,0.0004703,0.9057,0.7682,0.2806
5,0.00046297,0.9073,0.7753,0.2867
6,0.00045568,0.9101,0.7715,0.3075
7,0.00044843,0.9110,0.7607,0.2927
8,0.00044122,0.9118,0.7767,0.3009
9,0.00043404,0.9139,0.7830,0.3088
10,0.00042691,0.9113,0.7921,0.3052
11,0.00041981,0.9121,0.7963,0.3064
12,0.00041276,0.9167,0.7848,0.3155
13,0.00040574,0.9184,0.7760,0.3149
14,0.00039877,0.9158,0.7821,0.3199
15,0.00039183,0.9193,0.7801,0.3160
16,0.00038494,0.9196,0.7983,0.3246
17,0.00037808,0.9210,0.7931,0.3236
18,0.00037127,0.9195,0.7936,0.3210
19,0.0003645,0.9140,0.7932,0.3203
20,0.00035777,0.9223,0.7916,0.3233
21,0.00035108,0.9223,0.7946,0.3214
22,0.00034444,0.9211,0.7927,0.3241
23,0.00033784,0.9189,0.7883,0.3263
24,0.00033128,0.9214,0.7929,0.3199
25,0.00032476,0.9221,0.7997,0.3296
26,0.00031829,0.9222,0.8054,0.3326
27,0.00031186,0.9212,0.8022,0.3266
28,0.00030547,0.9233,0.7972,0.3280
29,0.00029913,0.9244,0.7976,0.3309
30,0.00029283,0.9229,0.7883,0.3252
31,0.00028658,0.9236,0.7945,0.3287
32,0.00028037,0.9254,0.7783,0.3242
33,0.00027421,0.9237,0.8021,0.3300
34,0.00026809,0.9223,0.8006,0.3327
35,0.00026202,0.9234,0.8074,0.3289
36,0.000256,0.9252,0.7989,0.3282
37,0.00025002,0.9248,0.7972,0.3315
38,0.00024409,0.9245,0.8032,0.3350
39,0.00023821,0.9226,0.8034,0.3280
40,0.00023238,0.9229,0.7999,0.3328
41,0.00022659,0.9227,0.8104,0.3354
42,0.00022086,0.9245,0.8059,0.3320
43,0.00021517,0.9263,0.8022,0.3375
44,0.00020953,0.9248,0.8103,0.3306
45,0.00020395,0.9251,0.8085,0.3371
46,0.00019841,0.9245,0.8055,0.3354
47,0.00019292,0.9264,0.8134,0.3335
48,0.00018749,0.9234,0.8070,0.3333
49,0.00018211,0.9261,0.8017,0.3345
50,0.00017678,0.9249,0.8036,0.3365
51,0.0001715,0.9241,0.8061,0.3360
52,0.00016628,0.9262,0.8075,0.3365
53,0.00016111,0.9263,0.8083,0.3388
54,0.00015599,0.9257,0.8090,0.3374
55,0.00015093,0.9254,0.8093,0.3369
56,0.00014593,0.9247,0.8155,0.3365
57,0.00014098,0.9260,0.8031,0.3334
58,0.0001361,0.9267,0.7988,0.3330
59,0.00013126,0.9251,0.8077,0.3422
60,0.00012649,0.9277,0.8069,0.3358
61,0.00012178,0.9268,0.8062,0.3357
62,0.00011712,0.9263,0.8114,0.3373
63,0.00011253,0.9232,0.8145,0.3356
64,0.000108,0.9271,0.8081,0.3372
65,0.00010353,0.9269,0.8096,0.3401
66,9.913e-05,0.9266,0.8122,0.3395
67,9.479e-05,0.9274,0.8114,0.3416
68,9.051e-05,0.9267,0.8123,0.3385
69,8.63e-05,0.9268,0.8143,0.3416
70,8.216e-05,0.9274,0.8107,0.3403
71,7.808e-05,0.9272,0.8076,0.3381
72,7.408e-05,0.9267,0.8108,0.3395
73,7.015e-05,0.9275,0.8126,0.3389
74,6.629e-05,0.9263,0.8093,0.3377
75,6.25e-05,0.9270,0.8080,0.3378
76,5.879e-05,0.9271,0.8075,0.3369
77,5.515e-05,0.9273,0.8107,0.3382
78,5.159e-05,0.9267,0.8119,0.3418
79,4.812e-05,0.9272,0.8116,0.3376
80,4.472e-05,0.9269,0.8104,0.3396
81,4.141e-05,0.9270,0.8131,0.3389
82,3.818e-05,0.9272,0.8155,0.3401
83,3.505e-05,0.9273,0.8159,0.3391
84,3.2e-05,0.9267,0.8140,0.3374
85,2.905e-05,0.9263,0.8148,0.3395
86,2.619e-05,0.9271,0.8134,0.3401
87,2.344e-05,0.9272,0.8134,0.3397
88,2.078e-05,0.9273,0.8144,0.3399
89,1.824e-05,0.9272,0.8115,0.3391
90,1.581e-05,0.9269,0.8108,0.3387
91,1.35e-05,0.9272,0.8100,0.3399
92,1.131e-05,0.9265,0.8126,0.3392
93,9.26e-06,0.9275,0.8141,0.3392
94,7.35e-06,0.9272,0.8166,0.3402
95,5.59e-06,0.9271,0.8156,0.3399
96,4e-06,0.9272,0.8139,0.3402
97,2.6e-06,0.9272,0.8140,0.3398
98,1.41e-06,0.9271,0.8144,0.3397
99,5e-07,0.9275,0.8141,0.3390
